2026-07-24 14:33:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:49 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:51 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:53 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:55 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:35:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:08 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:10 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:12 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:25 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:29 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:31 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:36:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:01 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:05 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:07 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:24 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:43 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:37:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:13 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:15 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:17 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:19 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:34 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:36 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:49 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:51 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:53 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:55 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:38:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:08 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:10 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:12 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:25 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:29 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:31 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:39:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:01 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:05 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:07 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:09 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:13 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:24 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:26 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:28 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:43 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:45 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:49 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:54 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:56 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:40:58 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:00 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:02 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:04 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:08 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:11 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:13 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:15 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:17 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:19 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:21 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:23 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:25 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:30 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:32 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:34 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:36 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:38 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:40 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:42 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:47 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:49 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:51 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:53 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:55 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:57 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:41:59 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:01 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:03 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:06 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:08 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:10 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:12 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:14 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:16 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:18 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:20 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:22 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:25 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:27 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:29 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:31 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:33 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:35 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:37 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:39 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:41 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:44 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:46 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:48 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:50 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
2026-07-24 14:42:52 - Tiến trình: zsh | PID: 80221 | CPU: 0.0% | RAM: 0.0%
